date,servicer,odometer,what,interval,next
2025-10-27,self,147135,headlight replacement & fasteners,based on condition,based on condition
2025-12-15,self,148435,fuel gas cap replacement,based on condition,based on condition
2026-01-19,handyman auto repair,150050,"timing belt replacement
water pump replacement
serpentine belt replacement",105000,255050
2026-01-19,handyman auto repair,150050,fuel filter replacement,60000,210050
2026-01-19,handyman auto repair,150050,spark plug & boots replacement,60000,210050
2026-01-19,handyman auto repair,150050,coolant flush,75000,225050
2026-01-19,handyman auto repair,150050,"transmission fluid flush
rear differential fluid flush",30000,180050
2026-01-21,handyman auto repair,150050,"helicoil drill
coolant flush",based on condition,based on condition
2026-03-20,lt auto repair,150181,"remachined head, new bottom block, checked fuel lines under manifold, new a/c",based on condition,based on condition
2026-05-26,lt auto repair,152972,"oil change & oil filter replacement, switch ig coil 1/4",6000,158972
